"Churn_Category","Feature","Coefficient","Odds_Ratio"
"Attitude","Contract_Tenure_RiskHigh Risk",0.139994189847223,1.15026711561014
"Attitude","Contract_Tenure_RiskLow Risk",-0.14557515458749,0.864524914619049
"Attitude","Contract_Tenure_RiskMedium Risk",0.0340303023682634,1.03461595756687
"Attitude","Tenure.in.Months",0.0166392302399969,1.01677843323664
"Attitude","ContractOne Year",0.0173860753698292,1.01753809289637
"Attitude","ContractTwo Year",-0.178201176312957,0.836774067433046
"Attitude","Total.Charges",0.116751967220633,1.12384064579925
"Attitude","Tenure_GroupLoyal",0.123861058864408,1.13185859835462
"Attitude","Tenure_GroupMature",-0.0108439791678418,0.989214604821844
"Attitude","Tenure_GroupNew",-0.000192993329899506,0.999807025292115
"Attitude","Total.Revenue",0.03631929090374,1.03698689412045
"Attitude","Number.of.Referrals",-0.179116037122923,0.836008885702714
"Attitude","Monthly.Charge",0.036569524681376,1.03724641573751
"Attitude","Premium.Tech.SupportNo Internet Service",0.0864308280584506,1.09027594860518
"Attitude","Premium.Tech.SupportYes",0.0028462469760943,1.00285030138272
"Attitude","Revenue_Tenure_Ratio",-0.0294187514461952,0.97100976757565
"Attitude","Age",0.154096343356004,1.1666032758391
"Attitude","Online.SecurityNo Internet Service",0.0875575744648048,1.09150510545619
"Attitude","Online.SecurityYes",0.0754268804916309,1.07834437682463
"Attitude","Internet.TypeDSL",-0.0934041525971498,0.91082531348333
"Attitude","Internet.TypeFiber Optic",0.0327807566422723,1.03332396498906
"Attitude","Internet.TypeNo Internet Service",0.0882249272993435,1.09223376759256
"Attitude","Number.of.Dependents",-0.0316195302933288,0.968875139602431
"Attitude","Latitude",-0.150067211502108,0.860650128893117
"Attitude","Avg_Revenue_Per_Month",-0.0308870861249275,0.969585046500188
"Attitude","Total.Long.Distance.Charges",-0.163184444967221,0.849434500046327
"Attitude","Longitude",-0.0192088896050624,0.980974425478657
"Attitude","OfferOffer A",-0.0195071699455815,0.980681863727863
"Attitude","OfferOffer B",-0.0345393633992294,0.966050311913942
"Attitude","OfferOffer C",-0.00436512699233983,0.995644386327173
"Attitude","OfferOffer D",0.0581681506173662,1.05989320242341
"Attitude","OfferOffer E",0.0788809232510046,1.08207546437002
"Attitude","Online.BackupNo Internet Service",0.0884245400568948,1.09245181314841
"Attitude","Online.BackupYes",-0.0411951355722436,0.959641851414217
"Attitude","Avg.Monthly.GB.Download",0.0782845487577018,1.08143033455185
"Attitude","Avg.Monthly.Long.Distance.Charges",0.0326755846358971,1.0332152939491
"Attitude","Population",-0.0611863378177185,0.940647945159166
"Attitude","Payment.MethodCredit Card",-0.0787994953558902,0.924225217316701
"Attitude","Payment.MethodMailed Check",-0.0789239815808358,0.924110171169376
"Competitor","Contract_Tenure_RiskHigh Risk",0.0380376972745585,1.03877039095305
"Competitor","Contract_Tenure_RiskLow Risk",-0.0600733223953168,0.941695483684305
"Competitor","Contract_Tenure_RiskMedium Risk",0.0324462530809624,1.03297837224701
"Competitor","Tenure.in.Months",-0.0753918634843578,0.927380008754855
"Competitor","ContractOne Year",-0.0469379532724231,0.954146597427773
"Competitor","ContractTwo Year",-0.0219348529865441,0.978303966556902
"Competitor","Total.Charges",0.0158432357703874,1.01596940526058
"Competitor","Tenure_GroupLoyal",-0.0379522708530668,0.962758891455192
"Competitor","Tenure_GroupMature",-0.205746043598622,0.814039780648133
"Competitor","Tenure_GroupNew",0.0339540641393942,1.03453708328536
"Competitor","Total.Revenue",0.0307752395895944,1.03125369283329
"Competitor","Number.of.Referrals",-0.146997777754925,0.863295895869241
"Competitor","Monthly.Charge",0.034954331175857,1.03557241434521
"Competitor","Premium.Tech.SupportNo Internet Service",-0.0936520492541143,0.910599550917088
"Competitor","Premium.Tech.SupportYes",-0.0933836703983107,0.910843969379564
"Competitor","Revenue_Tenure_Ratio",0.046284132786554,1.04737196139697
"Competitor","Age",-0.02630341522548,0.97403950635234
"Competitor","Online.SecurityNo Internet Service",-0.0927011879767171,0.911465816553226
"Competitor","Online.SecurityYes",-0.121863364475123,0.885269319477463
"Competitor","Internet.TypeDSL",-0.105440927723601,0.89992763205047
"Competitor","Internet.TypeFiber Optic",-0.0552927002610101,0.946208152044001
"Competitor","Internet.TypeNo Internet Service",-0.0928953473789685,0.911288864074161
"Competitor","Number.of.Dependents",-0.197369310054852,0.820887415348993
"Competitor","Latitude",-0.0429352422587055,0.957973424253587
"Competitor","Avg_Revenue_Per_Month",0.0475851088288049,1.04873545396934
"Competitor","Total.Long.Distance.Charges",0.0742526783676853,1.07707892566014
"Competitor","Longitude",0.0414288605254616,1.04229901061004
"Competitor","OfferOffer A",0.0369141102677024,1.03760389748984
"Competitor","OfferOffer B",0.0838701366451744,1.08748765984263
"Competitor","OfferOffer C",0.0101473174448564,1.01019897605477
"Competitor","OfferOffer D",-0.089615065464776,0.914283056666638
"Competitor","OfferOffer E",0.00844039762822868,1.00847611821221
"Competitor","Online.BackupNo Internet Service",-0.0939384693618961,0.910338774243192
"Competitor","Online.BackupYes",0.0137271154455374,1.01382176488683
"Competitor","Avg.Monthly.GB.Download",0.0166181619524383,1.01675701168188
"Competitor","Avg.Monthly.Long.Distance.Charges",0.0346464092467767,1.03525358797902
"Competitor","Population",0.107941280326799,1.11398233078751
"Competitor","Payment.MethodCredit Card",-0.0455703968481645,0.95545233937116
"Competitor","Payment.MethodMailed Check",0.115786530242928,1.12275617206251
"Dissatisfaction","Contract_Tenure_RiskHigh Risk",-0.0045798559942213,0.995430615554082
